# Agri-Monitor v5 data log
# study_id: TST1234
# operator: DAKS
# crop: Eng. Cucumber
# location: V
# planting: 2026-06-08
epoch_unix,uptime_ms,slot,plot_id,treatment,replicate,block,depth_cm,temp_c_x10,moist_pct_x10,moist_calib_x10,rssi_neg,flags,seq,temp_alert,moist_alert,sleep_interval_s
1780945132,696312,3,p3,1,1,1,20,313,228,228,81,0,16966,,,300
1780945152,716677,1,P1,0,1,1,20,333,257,257,82,0,9316,,,300
1780945179,743312,2,P2,1,1,1,20,308,224,224,81,0,17164,,,300
1780945452,1016952,1,P1,0,1,1,20,334,257,257,83,0,9317,,,300
1780945479,1043806,2,P2,1,1,1,20,308,224,224,83,0,17165,,,300
1780945752,1317227,1,P1,0,1,1,20,334,257,257,84,0,9318,,,300
1780945779,1344132,2,P2,1,1,1,20,308,224,224,83,0,17166,,,300
1780946053,1617501,1,P1,0,1,1,20,335,257,257,82,0,9319,,,300
1780946080,1644409,2,P2,1,1,1,20,308,224,224,78,0,17167,,,300
1780946353,1917847,1,P1,0,1,1,20,335,257,257,82,0,9320,,,300
1780946380,1944780,2,P2,1,1,1,20,308,224,224,82,0,17168,,,300
1780946653,2218193,1,P1,0,1,1,20,336,257,257,82,0,9321,,,300
1780946680,2245117,2,P2,1,1,1,20,309,224,224,80,0,17169,,,300
1780946934,2499110,3,p3,1,1,1,20,315,228,228,84,0,16972,,,300
1780946954,2518467,1,P1,0,1,1,20,336,257,257,83,0,9322,,,300
1780947254,2818749,1,P1,0,1,1,20,337,257,257,82,0,9323,,,300
1780947281,2845894,2,P2,1,1,1,20,309,223,223,82,0,17171,,,300
1780947535,3099891,3,p3,1,1,1,20,316,228,228,83,0,16974,,,300
1780947554,3119029,1,P1,0,1,1,20,337,257,257,82,0,9324,,,300
1780947581,3146171,2,P2,1,1,1,20,310,223,223,81,0,17172,,,300
1780947835,3400165,3,p3,1,1,1,20,316,228,228,83,0,16975,,,300
1780947855,3419434,1,P1,0,1,1,20,337,257,257,85,0,9325,,,300
1780947882,3446525,2,P2,1,1,1,20,310,223,223,81,0,17173,,,300
1780948136,3700444,3,p3,1,1,1,20,316,228,228,83,0,16976,,,300
1780948155,3719822,1,P1,0,1,1,20,338,257,257,83,0,9326,,,300
1780948182,3746959,2,P2,1,1,1,20,310,223,223,81,0,17174,,,300
1780948436,4000861,3,p3,1,1,1,20,317,228,228,82,0,16977,,,300
1780948455,4020097,1,P1,0,1,1,20,338,257,257,82,0,9327,,,300
1780948483,4047314,2,P2,1,1,1,20,310,223,223,78,0,17175,,,300
1780948756,4320530,1,P1,0,1,1,20,338,257,257,82,0,9328,,,300
1780948783,4347586,2,P2,1,1,1,20,311,223,223,82,0,17176,,,300
1780949056,4621019,1,P1,0,1,1,20,338,257,257,81,0,9329,,,300
1780949337,4902151,3,p3,1,1,1,20,318,228,228,83,0,16980,,,300
1780949357,4921301,1,P1,0,1,1,20,339,257,257,80,0,9330,,,300
1780949384,4948366,2,P2,1,1,1,20,311,223,223,82,0,17178,,,300
1780949657,5221616,1,P1,0,1,1,20,338,257,257,82,0,9331,,,300
1780949684,5248709,2,P2,1,1,1,20,312,223,223,83,0,17179,,,300
1780949957,5521891,1,P1,0,1,1,20,339,257,257,82,0,9332,,,300
1780949984,5548985,2,P2,1,1,1,20,312,223,223,83,0,17180,,,300
1780950239,5803734,3,p3,1,1,1,20,318,228,228,83,0,16983,,,300
1780950257,5822216,1,P1,0,1,1,20,339,257,257,83,0,9333,,,300
1780950285,5849559,2,P2,1,1,1,20,312,223,223,83,0,17181,,,300
1780950539,6104020,3,p3,1,1,1,20,319,228,228,84,0,16984,,,300
1780950558,6122491,1,P1,0,1,1,20,339,257,257,84,0,9334,,,300
1780950585,6149833,2,P2,1,1,1,20,312,223,223,83,0,17182,,,300
1780950858,6422767,1,P1,0,1,1,20,338,257,257,81,0,9335,,,300
1780950885,6450108,2,P2,1,1,1,20,312,223,223,80,0,17183,,,300
1780951158,6723213,1,P1,0,1,1,20,338,257,257,82,0,9336,,,300
1780951459,7023487,1,P1,0,1,1,20,338,257,257,81,0,9337,,,300
1780951486,7050888,2,P2,1,1,1,20,312,222,222,79,0,17185,,,300
1780951759,7323762,1,P1,0,1,1,20,338,257,257,80,0,9338,,,300
1780951786,7351160,2,P2,1,1,1,20,312,222,222,82,0,17186,,,300
